,text
0,"<|startoftext|>Teleplay by: Andrew Reich & Ted Cohe Story by: Shana Goldberg-Meeha Transcribed by: Eric Aase [Scene: Central Perk, Chandler, Phoebe, Rachel and Monica are there. Ross walks in with a magazine in his hand. Ross: Hey, youre not going to believe this. I made up a joke and sent it in to Playboy. They printed it Phoebe: I didnt know Playboy prints jokes Ross: Yeah, they print jokes, interviews, hard-hitting journalism. Its not just about the pictures Monica: That didnt work on mom, its not going to work on us Ross: (showing them the page) Here, check it out. Its the first one, too (They all laugh indifferently, except Chandler, whos a little angry. Chandler: That is funny. It was also funny when I made it up Ross: What Chandler: I made that joke up Ross: Uh, oh-oh, no you didnt. I did Chandler: Yes, I did. I told it to Dan at work, and he said it was the funniest joke hed ever heard Ross: Hey, tell Dan, Thanks (Rachel is looking at the magazine and laughing. Ross: What Rachel: Im sorry, I was just reading the joke below it. Man, that one is funny. (Ross grabs the magazine away from her. Chandler: Monica, you remember me telling you that joke, right Monica: No Chandler: Seriously Monica: Well, you tell a lot of jokes Ross: Look, Chandler, its my joke. But, hey, if it makes you feel any better they dont print the name, so it doesnt really matter who gets credit, right Chandler: Yeah, I guess<|endoftext|>"
1,"<|startoftext|>Written by: Alexa Jung Transcribed by: guineapi [Scene: A Street: Monica and Phoebe are walking to a newsstand. Phoebe: Do you think they have yesterday's daily news Monica: Why Phoebe: Just wanna check my horoscope, see if it was right Monica: Oh my God. (Grabs Phoebe and turns her away) Phoebe. Don't look now, but behind us is a guy who has the potential to break our hearts and plunge us into a pit of depression Phoebe: Where? (Turns to face him) Ooh, come to Momma Monica: He's coming. Be cool, be cool, be cool (The guy walks past them Guy: Nice hat Monica and Phoebe: (in unison) Thanks (The guy walks on Phoebe: We should do something. Whistle Monica: We are not going to whistle Phoebe: Come on, do it Monica: No Phoebe: Do it Monica: No Phoebe: Do it do it do it Monica: (Shouts to the guy) Woo-woo (The guy turns round, startled. Monica points to Phoebe. The guy gets hit by a truck Phoebe: I can't believe you did that Opening Credit [Scene: Hospital, the guy is in a coma and Mon and Pheebs are visiting.<|endoftext|>"
2,"<|startoftext|>Original Airdate: 01/08/9 Written by: Seth Kurklan Transcribed by: LiAnn Hol [SCENE: Central Perk. Alice (last seen in TOW the Hypnosis tape, the teacher who was going to marry Frank Jr.), Frank Jr., and Phoebe are sitting on the couch. Phoebe is examining Alice's ring. Phoebe: My little brother is married Frank Jr: I know Alice: (squeals happily Phoebe: You guys, why didn't you tell me you were eloping Frank Jr: Well, what happened was, we were at the courthouse, and we were having lunch.. Phoebe: Wait, wait. Why were you at the courthouse Frank Jr: We were having lunch. Yeah, and then, all of a sudden, we were like, ""We're here, we're having lunch, let's get married, right! Phoebe: Wow, a year and a half ago I didn't even know I had a brother. Now I have a sister too [They all laugh and have a group hug. As they break away from the hug, Alice and Frank Jr. have a passionate kiss. Phoebe just watches them. Phoebe: Okay. Okay. Stop it. Don't [Frank Jr. and Alice stop kissing. Alice: Oh. [fanning herself Phoebe: So, ooh, I'm going to get you a gift now. Is there anything you need Frank Jr: Uh, yeah Alice: We've been trying to get pregnant, uh, pretty much ever since we got engaged. We thought we'd get a jump on things. You know, no one's getting any younger. [laughs Frank Jr: 'cause the thing is, uh, we're not able to, you know, uh, conceive, you know Alice: We've tried everything; we've seen a bunch of doctors Frank Jr: Yeah, and they say, they say that our only chance to have a baby is if they take my sperm, her egg, and put it together in a dish, and then put it into another girl. So we were wondering if you could be the girl that we could put it into [Phoebe just stares at them for a moment with a bewildered smile on her face. Phoebe: That's a really *nice* gift. I was thinking of, like, a gravy boat OPENING CREDIT<|endoftext|>"
3,"<|startoftext|>Written by: Scott Silveri & Shana Goldnerg-Meehan Transcribed by: Eric Aase [Scene: Chandler and Joeys, there is lumber all over the apartment Chandler: (entering) Hey Joey: Hey Chandler: Hey-hey-hey. So what happened? A forest tick you off Joey: No. Y'know how were always saying we need a place for the mail Chandler: Yeah Joey: Well, I started building one. But then I decided to take it to the next step Chandler: Youre building a post office Joey: No, an entertainment unit, with a mail cubby built right in. Its a one day job, max Chandler: Okay. (notices that Joey is wearing some really tight jeans) My word! Those are snug Joey: Oh yeah. These are my old work pants, Sergio Valentes (Chandler goes to his bedroom and opens the door. However, only the top half opens, and he trips into his bedroom over the bottom half. Joey: Power saw kinda got away from me there Opening Credit [Scene: Outside Central Perk, Phoebe is pacing back and forth waiting for someone. Rachel: (joining Phoebe outside) Hey Pheebs Phoebe: Hey Rachel: Any sign of your brother Phoebe: No, but hes always late Rachel: I thought you only met him once Phoebe: Yeah, I did. I think it sounds y'know big sistery, y'know, Franks always late Rachel: Well relax, hell be here Phoebe: No, I know, Im just nervous. Y'know its just y'know Moms dead, dont talk to my sister, Grandmas been sleeping a lot lately. Its like the last desperate chance to have a family, y'know, kinda thing. Youre so sweet to wait with me<|endoftext|>"
4,"<|startoftext|>Written by: Adam Chas Transcribed by: Eric Aase [Scene: Monica and Rachel's, everyone except Joey and Chandler are there eating breakfast. Chandler: (entering in a bathrobe) I just walked in the bathroom and saw Kathy naked! It was like torture Ross: Y'know if we ever go to war and youre captured, youre in for a big surprise Chandler: It just keeps getting worse and worse! Y'know? I mean its bad enough that Im in love with my roommates girlfriendwhich by the way, I think she knows. Because every time were in the room together theres this weird like energy between us. And call me crazy, but I think she likes me too. And now I have seen her naked. I mean at least when Ive seen her with clothes on, I could imagine her body was like covered in boles or something. But there are no boles, shes smooth! Smooth! (leaves (Pause Phoebe: Wow! Could everyone totally see up his robe All: Yeah! Oh my God OPENING CREDIT [Scene: Central Perk, Joey is getting a phone number from a woman (Casey) as Chandler watches from the doorway. Casey: Here you go Joey: Great! All right, so Ill call you later Casey: Great! (leaves Chandler: (rushing up) Hey-Hey-Hey! Who was that Joey: That would be Casey. Were going out tonight Chandler: Goin out, huh? Wow! Wow! (Does a little celebration dance) So things didnt work out with Kathy, huh? Bummer Joey: No, things are fine with Kathy. Im having a late dinner with her tonight, right after my early dinner with Casey Chandler: (shocked) What Joey: Yeah-yeah. And the craziest thing is that I just ate a whole pizza by myself! (Laughs Chandler: Wait! Youre going out with Kathy Joey: Yeah. Why are you getting so upset Chandler: Well, Im upsetfor you. I mean, having s*x with an endless line of beautiful women must be very unfulfilling for you. (He cant believe he just sad that. Joey: What is the big deal? Its not like were exclusive Chandler: Look, Joey, Kathy is clearly not fulfilling your emotional needs. But Casey, I mean granted I only saw the back of her head, but I got this sense that shes-shes smart, and funny, and gets you<|endoftext|>"
5,"<|startoftext|>Part I Written by: Andrew Reich & Ted Cohe Part II Written by: Greg Malins & Scott Silver Transcribed by: Eric Aase [Scene: Monica and Rachel's, Rachel is sitting in the living room and Phoebe is standing in the kitchen as the phone rings. Rachel: Pheebs? Could you get that? Please Phoebe: Why? Just 'cause you're too lazy to get up off your touchie Rachel: No! No! It's just that all the people in the entire world that I want to talk to are right here Phoebe: (smiles) Okay! (Goes to answer the phone. Rachel: (under her breath) Sucker Phoebe: (answering the phone) Hello? (Listens) Hey Joey [Cut to Las Vegas, Joey is on the phone and wearing his gladiator costume. Joey: Hey Pheebs! Listen, uh can you do me a favor? I forgot the pin number to my ATM card can, can you get it for me Phoebe: Sure! Where is it Joey: Uh, I scratched it on the ATM machine down on the corner Phoebe: Ohh! So you're 5639? Joey: That's it! Thanks Pheebs [Cut to Monica and Rachel's Chandler: (entering) Hey Phoebe: (to Joey) Ooh, do you want to talk to Chandler Chandler: (To Phoebe) Is that Joey?! (She nods yes) Let me talk to him [Cut to Joey Joey: No! (She nods no to Chandler) Because he didn't believe in my movie! Which is a big mistake because it is real! Real A Casino Boss: Hey! Tribbiani! Get back to work! Break time's over [Cut to Phoebe Phoebe: Who was that<|endoftext|>"
6,"<|startoftext|>Story by: Adam Chas Teleplay by: Michael Curtis & Gregory S. Malin Transcribed by: Eric Aase [Scene: Joeys bedroom, he is asleep and snoring loudly. Chandler enters wondering who left their engine running. Chandler: Are you kidding me?! Joey. Joey! Joey! Joey! Joey! Joey! Joey! Joey! Joey! Joey! Joey: (joining in, in his sleep) Joey. Joey. Joey. Joey! Joey! (Chandler acts disgusted, but is happy that Joey has stopped snoring. However, just as he is about to leave, Joey starts snoring again. So to get him to stop, he slams the door shut, waking Joey. Chandler: Oh. Oh, did-did-did I wake you OPENING CREDIT [Scene: Central Perk, Chandler is getting another cup of coffee. Chandler: Gunther, can I get another cup of coffee, please? (Gunther starts to pour him another cup.) So uh, what do you do when youre not working here Gunther: You dont need to fill these silences Chandler: Oh, okay, thanks. (He goes back to the couch and rejoins Monica, Joey, and Phoebe. Monica: Chandler, thats like your fourth cup of coffee Chandler: Well, I am drinking lots of cups of coffee because Im exhausted! Because Joey started snoring Monica: Hes in a different room! Hes really that loud Joey: (proudly) Oh, you should here me Chandler: Its not something to be proud of, okay? You have to go to a sleep clinic Joey: Look, I told ya, Im not going to any clinic! I dont have a problem, youre the one with the problem! You should go to a ""Quit being a baby and leave me alone"" clinic Chandler: They dont have those Joey: Yeah, they do! Quit being a baby and leave me alone! There, youve just had your first class Monica: Yknow I used to go out with this guy that was a really light sleeper, and whenever I started to snore, he would just roll me ove Joey: Ohhh, yeah Monica: He would just roll me over and I would stop snoring Chandler: Next time you snore, Im rolling ya over<|endoftext|>"
7,"<|startoftext|>Originally written by Chris Brow Transcribed by Mindy Mattingly Phillips [mmatting@indiana.edu Minor additions and adjustments by Dan Silverstein [Scene: At Chandler and Joey's. Ross and Chandler are there. Ross is watching wrestling. ROSS: Man, I sure miss Julie CHANDLER: Spanish midgets. Spanish midgets wrestling. Julie. Ok, yes, I see how you got there. (phone rings ROSS: You ever figure out what that thing's for CHANDLER: No, see, I'm trying this new screening thing. You know, I figure if I'm always answering the phone, people'll think I don't have a life. My god, Rodrigo never gets pinned (MACHINE--JOEY'S VOICE): Here comes the beep, you know what to do JADE: Hello, I'm looking for Bob. This is Jane. I don't know if you're still at this number, but I was just thinking about us, and how great it was, and, well, I know it's been three years, but, I was kinda hoping we could hook up again. I barely had t he nerve to make this call, so you know what I did CHANDLER: What JADE: I got a little drunk...and naked CHANDLER: Bob here CHANDLER: (on phone) What've you been up to JADE: Oh, you know, the usual, teaching aerobics, partying way too much. Oh, and in case you were wondering, those are my legs on the new James Bond poster CHANDLER: Can you hold on a moment? I have another call. (to Ross) I love her ROSS: I know CHANDLER: I'm back JADE: So, are we gonna get together or what CHANDLER: Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish JADE: Great, I'll see you then CHANDLER: Ok. Ok. Having a phone has finally paid off ROSS: Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""hey, you're not Bob. CHANDLER: I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table ROSS: Oh my god. You are pure evil<|endoftext|>"
8,"<|startoftext|>Written by: Scott Silver Transcribed by: Eric Aase Directed by: David Schwimmer (Yeah, that David Schwimmer. [Scene: Chandler and Joey's, Joey is balancing a mini hockey stick on his hand as Chandler enters from his room carrying a bunch of bills. Chandler: (watches Joey for a moment) Okay! (Joey quickly moves the hockey stick so that hes scratching his back with it.) Listen, Im gonna be moving out so you will be in charge of paying the rent Joey: Right! And when is that due Chandler: First of the month Joey: And thats every month Chandler: No, just the months you actually want to live here Joey: Ahhh Chandler: Okay, here is the phone bill. (Hands it to Joey. Joey: (looking at it) Oh my God! Chandler: Thats our phone number. Now look, I know I kinda sprung this whole me moving out on thing, so why dont I justwhy dont I just cover you for a while Joey: No-no! No way! Joey Tribbiani does not take charityanymore Chandler: Its not charity, Jo Joey: No! Forget it! OkayI mean thanks, but Im done taking money from you. All right, I can take of myself. Now, whats next? Come on Chandler: Okay uh, heres the electric bill. (Hands it to him. Joey: This is how much we pay for electric?!! Chandler: Uh, yeah (Joey runs over and shuts off the lights. Chandler: So, well do the rest of the bills later then Opening Credit [Scene: Monica and Rachel's, Chandler is talking to Phoebe about trying to give Joey some money. Phoebe: So is Joey going to have to give up the apartment Chandler: No, I hope not! I tried to offer him some money, but he wouldnt take it<|endoftext|>"
9,"<|startoftext|>Written by: Wil Calhou Transcribed by: Eric Aase [Scene: Monica and Rachel's, erm, Chandler and Joey's, Joey is getting ready for a fishing trip and Phoebe is asking him about the fishing lures. Ross is playing with the rod, and Monica is pretty much just watching the on goings. Phoebe: (holding a lure) So now, what is this now Joey: Guggly worm Phoebe: (laughs and picks up another lure) And this Joey: Glow-pop giggly jammer Phoebe: (laughs harder) You make it so funny Monica: (not wanting to be left out, picks up something) Hey umm, whats this Joey: (examining it) Ohh, a hunk of sandwich from last year. (Monica drops the sandwich Ross: (pretend fishing in the living room) Ohh, Gellers got one hooked! Ohh! Looks like a big one! Yeah, ohh! Ohh! (Swinging the rod back and forth) Its the classic struggle between man and(swings the rod and knocks over a lamp.) Someone knocked over a lamp Joey: (going over and picking up the rod) Thats all right. Hey you guys, you know whats going to be great about the fishing trip this year? When my dad gets me out in the middle of the lake and gives me that, ""Joey, what are you doing with your life?"" stuff. I can say, ""Well, Im doing a movie with Charlton Heston dad. What are you doing with your life? All: Great (Chandler enters from his bedroom, all depressed and wearing sweat pants, with the chick and duck in tow. Chandler: You dont have to stop having fun just because Im here. Kathy didnt cheat on all of you. (To Joey) Well, except you. (They hug and Chandler goes into the bathroom with the chick and duck following him. Monica: Hey, Joey, I dont think that you should leave Chandler alone. I mean its only been two days since he broke up with Kathy. Maybe you can go fishing next week Joey: Look, theres nothing I can do for him right now, hes still in his sweat pants, thats still Phase One. Y'know? Ill be back for Phase Two, I would never miss Phase Two Monica: Whats Phase Two Joey: Gettin drunk and going to a strip club Rachel: How does going to a strip club help him better Ross: Because there are naked ladies there Joey: Which helps him get to Phase Three, picturing yourself with other women Ross: There are naked ladies there too Joey: Yeah Chandler: (opening the bathroom door and kicking out the chick and duck) Would you give me one minute!! Please<|endoftext|>"
